"r6-sparxround-right"
150a,9520,0,1.000000
150a,9520,0,1,0.500000
150a,9520,0,3,0.375000
150a,9520,0,4,0.500000
150a,9520,0,5,0.250000
150a,9520,1,0,0.500000
150a,9520,1,1,0.500000
150a,9520,1,2,0.375000
150a,9520,1,3,0.375000
150a,9520,1,4,0.250000
150a,9520,1,5,0.250000
150a,9520,2,0,0.500000
150a,9520,2,1,0.250000
150a,9520,2,3,0.125000
150a,9520,2,4,0.250000
150a,9520,3,0,0.250000
150a,9520,3,1,0.250000
150a,9520,3,2,0.125000
150a,9520,3,3,0.125000
150a,9520,4,0,0.250000
150a,9520,4,1,0.125000
150a,9520,4,3,0.125000
150a,9520,5,0,0.125000
150a,9520,5,1,0.125000
150a,9520,5,2,0.125000
150a,9520,5,3,0.125000
150a,9520,6,0,0.625000
150a,9520,6,1,0.312500
150a,9520,6,3,0.312500
150a,9520,6,4,0.375000
150a,9520,7,0,0.312500
150a,9520,7,1,0.312500
150a,9520,7,2,0.312500
150a,9520,7,3,0.312500
150a,9520,8,0,0.375000
150a,9520,8,1,0.187500
150a,9520,8,3,0.125000
150a,9520,9,0,0.187500
150a,9520,9,1,0.187500
150a,9520,9,2,0.125000
150a,9520,9,3,0.125000
150a,9520,a,0,0.250000
150a,9520,a,1,0.125000
150a,9520,a,3,0.062500
150a,9520,b,0,0.125000
150a,9520,b,1,0.125000
150a,9520,b,2,0.062500
150a,9520,b,3,0.062500
150a,9520,c,0,0.125000
150a,9520,c,1,0.062500
150a,9520,c,3,0.062500
150a,9520,d,0,0.062500
150a,9520,d,1,0.062500
150a,9520,d,2,0.062500
150a,9520,d,3,0.062500
150a,9520,e,0,0.250000
150a,9520,e,1,0.125000
150a,9520,e,3,0.125000
150a,9520,f,0,0.125000
150a,9520,f,1,0.125000
150a,9520,f,2,0.125000
150a,9520,f,3,0.125000
150a,9520,0,10,0.937500
150a,9520,0,11,0.468750
150a,9520,0,14,0.468750
150a,9520,0,1c,0.468750
150a,9520,0,40,,0.750000
150a,9520,0,50,,0.750000
150a,9520,1,10,0.468750
150a,9520,1,11,0.468750
150a,9520,1,12,0.351562
150a,9520,1,13,0.351562
150a,9520,1,14,0.234375
150a,9520,1,15,0.234375
150a,9520,1,16,0.234375
150a,9520,1,17,0.234375
150a,9520,1,40,0.375000
150a,9520,1,41,0.375000
150a,9520,2,10,0.468750
150a,9520,5,10,0.117188
150a,9520,5,11,0.117188
150a,9520,5,12,0.117188
150a,9520,5,13,0.117188
150a,9520,5,14,0.117188
150a,9520,5,15,0.117188
150a,9520,5,18,0.117188
150a,9520,5,19,0.117188
150a,9520,5,1a,0.117188
150a,9520,5,1b,0.117188
150a,9520,5,1c,0.117188
150a,9520,5,1d,0.117188
150a,9520,5,1e,0.234375
150a,9520,5,1f,0.234375
150a,9520,5,40,0.093750
150a,9520,5,41,0.093750
150a,9520,5,42,0.093750
150a,9520,5,43,0.093750
150a,9520,5,44,0.093750
150a,9520,5,45,0.093750
150a,9520,5,48,0.093750
150a,9520,5,49,0.093750
150a,9520,5,4a,0.093750
150a,9520,5,4b,0.093750
150a,9520,5,4c,0.093750
150a,9520,5,4d,0.093750
150a,9520,5,4e,0.187500
150a,9520,5,4f,0.187500
150a,9520,5,50,0.093750
150a,9520,5,51,0.093750
150a,9520,6,10,0.585938
150a,9520,6,11,0.292969
150a,9520,6,13,0.292969
150a,9520,6,14,0.351562
150a,9520,6,15,0.175781
150a,9520,6,17,0.058594
150a,9520,6,18,0.234375
150a,9520,6,19,0.117188
150a,9520,6,1b,0.117188
150a,9520,6,1c,0.468750
150a,9520,6,1d,0.234375
150a,9520,6,1f,0.351562
150a,9520,6,40,0.468750
150a,9520,6,41,0.234375
150a,9520,6,43,0.234375
150a,9520,6,44,0.281250
150a,9520,6,45,0.140625
150a,9520,6,47,0.046875
150a,9520,6,48,0.187500
150a,9520,6,49,0.093750
150a,9520,6,4b,0.093750
150a,9520,6,4c,0.375000
150a,9520,6,4d,0.187500
150a,9520,6,4f,0.281250
150a,9520,6,50,0.468750
150a,9520,6,51,0.234375
150a,9520,6,53,0.234375
150a,9520,6,54,0.281250
150a,9520,7,10,0.292969
150a,9520,7,11,0.292969
150a,9520,7,12,0.292969
150a,9520,7,13,0.292969
150a,9520,7,14,0.175781
150a,9520,7,15,0.175781
150a,9520,7,16,0.058594
150a,9520,7,17,0.058594
150a,9520,7,40,0.234375
150a,9520,7,41,0.234375
150a,9520,7,42,0.234375
150a,9520,7,43,0.234375
150a,9520,7,44,0.140625
150a,9520,7,45,0.140625
150a,9520,7,46,0.046875
150a,9520,7,47,0.046875
150a,9520,7,48,0.093750
150a,9520,7,49,0.093750
150a,9520,7,4a,0.093750
150a,9520,7,4b,0.093750
150a,9520,7,4c,0.187500
150a,9520,7,4d,0.187500
150a,9520,7,4e,0.281250
150a,9520,7,4f,0.281250
150a,9520,8,10,0.351562
150a,9520,8,11,0.175781
150a,9520,8,13,0.117188
150a,9520,8,14,0.117188
150a,9520,8,15,0.058594
150a,9520,8,17,0.058594
150a,9520,8,18,0.234375
150a,9520,8,19,0.117188
150a,9520,8,1b,0.175781
150a,9520,8,1c,0.468750
150a,9520,8,1d,0.234375
150a,9520,8,1f,0.234375
150a,9520,8,40,0.281250
150a,9520,8,41,0.140625
